ts_recv,open,high,low,close,trades,volume
2023-01-17 15:00:00+00:00,37.69,37.69,37.69,37.69,1,1
2023-01-17 15:15:00+00:00,37.97,37.97,37.75,37.79,4,5
2023-01-17 15:45:00+00:00,38.09,38.09,38.09,38.09,1,1
2023-01-19 14:30:00+00:00,37.45,37.45,37.45,37.45,1,1
2023-01-20 14:30:00+00:00,37.6,37.6,37.6,37.6,1,3
2023-01-23 14:45:00+00:00,38.46,38.46,38.46,38.46,2,2
2023-01-23 15:15:00+00:00,38.74,38.74,38.74,38.74,1,1
2023-01-23 15:30:00+00:00,38.74,38.74,38.74,38.74,1,1
2023-01-23 15:45:00+00:00,38.7,38.74,38.7,38.74,4,5
2023-01-27 14:30:00+00:00,37.64,37.64,37.35,37.63,4,4
2023-01-27 14:45:00+00:00,37.57,37.57,37.57,37.57,1,1
2023-01-30 15:30:00+00:00,36.49,36.7,36.49,36.7,2,6
2023-01-31 15:30:00+00:00,36.25,36.8,36.25,36.8,13,93
2023-02-01 14:45:00+00:00,37.88,38.16,37.88,38.16,2,4
2023-02-01 15:15:00+00:00,38.14,38.14,38.14,38.14,1,1
2023-02-02 15:00:00+00:00,38.25,38.25,38.25,38.25,1,7
2023-02-02 16:00:00+00:00,39.61,39.61,38.92,39.0,6,15
2023-02-08 14:30:00+00:00,37.03,38.22,37.03,38.12,4,360
2023-02-08 14:45:00+00:00,37.15,37.9,37.1,37.83,8,372
2023-02-08 15:00:00+00:00,37.01,37.49,36.79,37.49,5,181
2023-02-08 15:15:00+00:00,37.47,37.47,36.64,37.19,13,592
2023-02-08 15:30:00+00:00,37.3,37.3,37.0,37.0,4,105
2023-02-09 14:45:00+00:00,38.92,38.92,38.92,38.92,1,1
2023-02-09 15:30:00+00:00,36.59,36.59,36.59,36.59,1,1
2023-02-09 15:45:00+00:00,36.62,36.62,36.62,36.62,1,1
2023-02-10 14:30:00+00:00,37.37,37.37,36.5,36.7,6,31
2023-02-10 15:15:00+00:00,36.44,36.44,36.44,36.44,1,1
2023-02-10 16:00:00+00:00,36.88,36.88,36.88,36.88,1,1
2023-02-15 14:45:00+00:00,37.79,37.79,37.79,37.79,3,6
2023-02-17 14:30:00+00:00,37.2,37.2,37.2,37.2,1,1
2023-02-17 14:45:00+00:00,37.19,37.19,37.17,37.17,2,31
2023-02-17 15:15:00+00:00,37.3,37.3,37.25,37.25,2,2
2023-02-17 16:00:00+00:00,37.5,37.5,37.5,37.5,1,20
2023-02-22 14:30:00+00:00,36.73,36.75,36.73,36.75,2,6
2023-02-22 15:30:00+00:00,36.12,36.12,36.12,36.12,1,1
2023-02-27 15:15:00+00:00,36.97,36.97,36.97,36.97,1,1
2023-03-01 14:45:00+00:00,36.7,36.7,36.7,36.7,1,1
2023-03-02 15:45:00+00:00,36.06,36.06,35.77,35.77,2,3
