ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2023-01-17 15:14:56.681913524+00:00,2023-01-17 15:14:56.681901942+00:00,0,2,60,T,N,0,37.69,1,134,11582,117679243,AC
2023-01-17 15:15:24.480621002+00:00,2023-01-17 15:15:24.480608824+00:00,0,2,60,T,N,0,37.97,1,134,12178,118495236,AC
2023-01-17 15:15:50.113420449+00:00,2023-01-17 15:15:50.113408779+00:00,0,2,60,T,A,0,37.75,2,134,11670,119184212,AC
2023-01-17 15:16:01.552940316+00:00,2023-01-17 15:16:01.552927612+00:00,0,2,60,T,A,0,37.75,1,134,12704,119502544,AC
2023-01-17 15:16:45.919549964+00:00,2023-01-17 15:16:45.919537806+00:00,0,2,60,T,N,0,37.79,1,134,12158,120835456,AC
2023-01-17 15:54:20.305446147+00:00,2023-01-17 15:54:20.305434262+00:00,0,2,60,T,N,0,38.09,1,134,11885,177536915,AC
2023-01-17 17:34:48.567867733+00:00,2023-01-17 17:34:48.567855821+00:00,0,2,60,T,N,0,37.58,73,134,11912,278930156,AC
2023-01-17 17:50:55.810042992+00:00,2023-01-17 17:50:55.810030909+00:00,0,2,60,T,N,0,37.73,7,134,12083,290093802,AC
2023-01-17 17:51:11.888242922+00:00,2023-01-17 17:51:11.888231157+00:00,0,2,60,T,N,0,37.73,10,134,11765,290263974,AC
2023-01-17 17:51:27.189573556+00:00,2023-01-17 17:51:27.189561659+00:00,0,2,60,T,N,0,37.73,9,134,11897,290478859,AC
2023-01-17 17:51:34.503231398+00:00,2023-01-17 17:51:34.503219758+00:00,0,2,60,T,N,0,37.73,8,134,11640,290566653,AC
2023-01-17 17:51:41.046883396+00:00,2023-01-17 17:51:41.046871449+00:00,0,2,60,T,N,0,37.73,1,134,11947,290628387,AC
2023-01-17 17:51:44.583372339+00:00,2023-01-17 17:51:44.583360911+00:00,0,2,60,T,N,0,37.73,9,134,11428,290692327,AC
2023-01-17 17:51:54.281333781+00:00,2023-01-17 17:51:54.281322212+00:00,0,2,60,T,N,0,37.73,19,134,11569,290813531,AC
