ts_event,open,high,low,close,volume,vwap
2023-03-28 14:00:00+00:00,259.24,261.62,258.5,260.18,442446,260.1794815638519
2023-03-28 15:00:00+00:00,260.67,263.1,260.25,262.38,124277,262.38569067486344
2023-03-28 16:00:00+00:00,262.62,262.91,260.94,261.93,194571,261.94822476114115
2023-03-28 17:00:00+00:00,261.99,262.56,261.24,261.67,44233,261.79263332805823
2023-03-28 18:00:00+00:00,261.98,262.765,261.71,261.96,56893,261.9804018947849
2023-03-28 19:00:00+00:00,262.19,264.3,261.955,264.12,114769,264.10056557084226
2023-03-28 20:00:00+00:00,263.57,264.48,263.57,264.48,1035,264.48
2023-03-29 14:00:00+00:00,270.4,270.42,265.98,266.95,164022,267.0403824486959
2023-03-29 15:00:00+00:00,267.08,269.5,267.06,269.21,110861,269.2085884125166
2023-03-29 16:00:00+00:00,268.65,269.5,267.58,267.82,91602,267.71202266326065
2023-03-29 17:00:00+00:00,267.805,269.45,267.74,268.38,31106,268.3459236160226
2023-03-29 18:00:00+00:00,268.33,269.47,267.66,269.4,37384,269.4419208752407
2023-03-29 19:00:00+00:00,269.37,270.79,269.12,269.76,305214,269.89098599671047
2023-03-30 14:00:00+00:00,273.0,274.77,271.6,274.27,136605,274.26170747776433
2023-03-30 15:00:00+00:00,274.65,274.99,272.97,273.67,66459,273.67429031432914
2023-03-30 16:00:00+00:00,273.35,273.72,272.51,273.19,42871,273.2065431177253
2023-03-30 17:00:00+00:00,273.31,273.7,271.71,272.25,41454,272.3002875476432
2023-03-30 18:00:00+00:00,272.47,273.67,271.975,273.5,66759,273.58381476654836
2023-03-30 19:00:00+00:00,273.55,274.47,273.12,273.94,138274,273.91695170458655
2023-03-31 14:00:00+00:00,275.06,275.84,273.57,274.53,150068,274.53106038595837
2023-03-31 15:00:00+00:00,274.36,275.98,273.31,275.74,118264,275.75162052695663
2023-03-31 16:00:00+00:00,275.73,278.31,275.36,277.26,106517,277.209641277918
2023-03-31 17:00:00+00:00,277.28,278.29,276.68,277.23,62759,277.302805334693
2023-03-31 18:00:00+00:00,277.34,277.86,276.04,276.22,75548,276.32669653730073
2023-03-31 19:00:00+00:00,276.31,278.2,276.0,278.13,259196,277.9373042408062
2023-04-03 14:00:00+00:00,276.06,279.9,275.9,276.24,140987,276.22554831296503
2023-04-03 15:00:00+00:00,276.23,276.54,274.15,275.23,96775,275.1853469387755
2023-04-03 16:00:00+00:00,274.92,276.16,273.76,273.85,48208,273.86112906571526
2023-04-03 17:00:00+00:00,273.83,275.02,273.38,274.38,46209,274.9366417797399
2023-04-03 18:00:00+00:00,274.98,277.29,274.54,277.26,45479,277.17977506101715
2023-04-03 19:00:00+00:00,277.04,280.0,276.935,279.665,140188,279.6741654064542
2023-04-03 20:00:00+00:00,279.75,279.9,279.75,279.9,152,279.9
2023-04-04 14:00:00+00:00,276.64,278.0,275.64,277.55,139741,277.5036244910227
2023-04-04 15:00:00+00:00,277.4,277.54,275.0,276.82,81321,276.777733918668
2023-04-04 16:00:00+00:00,276.75,277.45,275.36,276.95,52732,277.0436323295153
2023-04-04 17:00:00+00:00,276.6,277.34,275.99,276.87,44486,276.8674774086229
2023-04-04 18:00:00+00:00,276.85,277.46,274.53,274.77,91166,274.73329815940156
2023-04-04 19:00:00+00:00,274.66,275.27,273.08,274.68,171883,274.6335114583758
2023-04-05 14:00:00+00:00,267.7,268.54,264.35,264.69,203028,264.63046481273517
2023-04-05 15:00:00+00:00,264.31,267.16,263.95,266.83,122680,266.69912373655035
2023-04-05 16:00:00+00:00,266.54,266.81,264.52,265.38,66638,265.1678269155737
2023-04-05 17:00:00+00:00,265.23,266.68,264.58,266.27,65710,266.2316059960432
2023-04-05 18:00:00+00:00,266.185,268.08,266.185,267.62,64704,267.54615958827895
2023-04-05 19:00:00+00:00,267.46,269.1,265.925,268.8,145204,268.79715297099256
2023-04-06 14:00:00+00:00,266.34,268.715,266.23,267.55,122830,267.5352238052593
2023-04-06 15:00:00+00:00,267.73,270.54,267.52,270.03,94995,270.0832462761198
2023-04-06 16:00:00+00:00,270.19,270.57,268.08,268.12,98481,268.149116987033
2023-04-06 17:00:00+00:00,268.17,270.02,267.86,269.82,132768,269.8144421095444
2023-04-06 18:00:00+00:00,269.89,270.8,269.37,269.69,159460,269.7612928007024
2023-04-06 19:00:00+00:00,269.73,270.77,269.21,270.34,100259,270.3508350372535
2023-04-10 14:00:00+00:00,268.4,272.49,267.89,271.57,181620,271.65344527034466
2023-04-10 15:00:00+00:00,271.73,274.25,271.6,273.79,69767,273.803078102828
2023-04-10 16:00:00+00:00,273.68,275.5,272.65,274.96,598505,274.95740105763525
2023-04-10 17:00:00+00:00,274.94,275.88,274.13,274.62,47489,274.72891785466106
2023-04-10 18:00:00+00:00,274.455,275.86,274.27,275.72,42476,275.70619573406157
2023-04-10 19:00:00+00:00,275.82,276.19,275.18,275.895,104387,275.83764654602584
2023-04-11 14:00:00+00:00,274.19,275.07,271.49,271.74,97788,271.77811060661844
2023-04-11 15:00:00+00:00,271.91,273.29,271.27,272.76,125086,272.78427721727445
2023-04-11 16:00:00+00:00,273.0,274.24,272.05,273.12,56390,273.10521830111725
2023-04-11 17:00:00+00:00,273.09,274.28,272.18,274.06,36828,274.0232195612034
2023-04-11 18:00:00+00:00,274.0,274.175,273.06,273.21,60436,273.5594777946919
2023-04-11 19:00:00+00:00,273.46,273.85,271.35,271.67,102068,271.70021328917977
2023-04-12 14:00:00+00:00,267.3,269.32,265.68,266.17,170355,266.16626095506444
2023-04-12 15:00:00+00:00,266.55,269.32,265.2,268.93,113202,268.9241895019523
2023-04-12 16:00:00+00:00,268.95,269.98,268.85,269.44,45322,269.4492890869776
2023-04-12 17:00:00+00:00,269.47,270.15,268.15,268.55,43178,268.5393468896197
2023-04-12 18:00:00+00:00,268.36,269.05,266.09,266.54,101747,266.50146618573524
2023-04-12 19:00:00+00:00,266.07,266.45,264.49,264.99,147804,264.9550186057211
2023-04-13 14:00:00+00:00,265.38,267.99,264.59,266.6,120165,266.6622923480215
2023-04-13 15:00:00+00:00,267.33,267.77,265.605,267.42,93907,267.41763670439906
2023-04-13 16:00:00+00:00,267.61,268.825,267.065,267.3,91750,267.3311229427793
2023-04-13 17:00:00+00:00,267.01,268.66,266.87,268.28,55124,268.3006251360569
2023-04-13 18:00:00+00:00,268.37,268.5,267.37,267.49,73434,267.485548655936
2023-04-13 19:00:00+00:00,267.5,267.68,264.26,264.6,176611,264.56379613953834
2023-04-14 14:00:00+00:00,268.39,268.66,263.96,265.71,106649,265.6878892910388
2023-04-14 15:00:00+00:00,265.81,267.39,264.95,265.6,70481,265.1982884749081
2023-04-14 16:00:00+00:00,265.27,265.6,263.1,263.79,84614,263.79233081995886
2023-04-14 17:00:00+00:00,263.97,265.56,262.22,264.91,129007,264.9182172285225
2023-04-14 18:00:00+00:00,264.93,266.97,264.55,266.67,75573,266.72722830905224
2023-04-14 19:00:00+00:00,266.44,267.79,265.28,267.48,116485,267.58271717388504
2023-04-17 14:00:00+00:00,267.91,269.2,266.32,267.78,112458,267.80561987586475
2023-04-17 15:00:00+00:00,267.84,268.27,265.6,265.9,74284,265.93293098109956
2023-04-17 16:00:00+00:00,265.85,265.96,264.93,265.88,47963,265.85464107749726
2023-04-17 17:00:00+00:00,265.99,266.755,265.58,265.99,36894,265.96712107659783
2023-04-17 18:00:00+00:00,265.93,267.87,265.73,267.5,42793,267.7502526114084
2023-04-17 19:00:00+00:00,267.88,270.02,267.61,269.97,115624,269.96444829793126
2023-04-17 20:00:00+00:00,269.98,269.98,269.98,269.98,122,269.98
2023-04-18 14:00:00+00:00,277.91,279.25,276.2,279.23,198823,278.7389629972388
2023-04-18 15:00:00+00:00,278.78,279.59,277.33,278.13,100947,278.1379471405787
2023-04-18 16:00:00+00:00,277.97,279.44,277.46,278.31,68065,278.3405646073606
2023-04-18 17:00:00+00:00,278.45,279.2,276.76,276.9,51239,276.89921875914825
2023-04-18 18:00:00+00:00,276.88,277.09,273.57,274.38,98451,274.4276877329839
2023-04-18 19:00:00+00:00,274.56,277.12,274.33,276.73,103381,276.659006780743
2023-04-19 14:00:00+00:00,275.68,277.85,275.38,276.82,111027,276.7946640907167
2023-04-19 15:00:00+00:00,277.16,277.85,276.45,277.12,74689,277.1199380096132
2023-04-19 16:00:00+00:00,277.3,278.52,276.64,278.06,44943,278.06615223727835
2023-04-19 17:00:00+00:00,278.055,278.82,277.88,278.32,39204,278.351330476482
2023-04-19 18:00:00+00:00,278.37,278.84,277.29,278.34,43505,278.3250996437191
2023-04-19 19:00:00+00:00,278.0,280.0,277.64,279.38,115427,279.35925199476725
2023-04-20 14:00:00+00:00,278.73,280.3,277.01,277.23,133373,277.34101617268857
2023-04-20 15:00:00+00:00,276.89,277.275,274.92,276.66,94318,276.5782440785428
